title,company,skills,Type,Duration,experience_level,salary,date_posted,city,governorate,country
procurement engineer,blue bell egypt,"purchasing, supply chain management, procurement, vendor management, negotiation, cost reduction, logistics, contract management, quality assurance",on-site,full time,experienced,,2 months ago,bourj alarab, alexandria, egypt
civil engineer,kayan plus,"civil engineering, engineering, architecture, construction, management, project, project management, autocad, projects",on-site,full time,entry level,,2 months ago,10th of ramadan city, sharqia, egypt
sr. project manager,impact for learning & development,"project management, project, time management, negotiation",hybrid,full time,experienced,,2 months ago,sheikh zayed, giza, egypt
production engineer,comex engineering company,"engineering, production, production engineering, mechanical engineering",on-site,full time,experienced,,2 months ago,giza, giza, egypt
administrative & executive assistant,arms surveying & automation systems,"administration, microsoft office, office management, business english, email, microsoft excel, data entry",on-site,full time,entry level,,2 months ago,hadayek alahram, giza, egypt
export sales manager,confidential,"customer service, export sales, export, sales target, sales",on-site,full time,manager,,2 months ago,10th of ramadan city, sharqia, egypt
technical manager,kps,"power systems, ups and battery technologies, solar and hybrid energy systems, project commissioning and troubleshooting, •	proficiency in technical software (autocad, pvsyst,pvsol,eplan), computer science, energy, engineering",on-site,full time,manager,,2 months ago,cairo,cairo, egypt
service engineer (electrical / mechatronics) - heavy equipment - piling & foundation rigs,el didi group,"engineering, heavy equipment, mechatronics, customer service",on-site,full time,entry level,,2 months ago,sheraton, cairo, egypt
sales engineers – heavy equipment spare parts,el didi group,"engineering, heavy equipment, sales, spare parts, development, mechanical, mechanical engineering, microsoft office",on-site,full time,experienced,,2 months ago,sheraton, cairo, egypt
facilities admin specialist,matgr for engineering and trading,"admin, administration, facilities, facilities management, facility, office management, safety",on-site,full time,experienced,,2 months ago,new cairo, cairo, egypt
fp&a lead,egypt foods,"accounting, computer engineering, finance, cfa, cpa, planning, fp&a",on-site,full time,manager,,2 months ago,sheikh zayed, giza, egypt
finance manager,akhnaton trading and distribution - eva group limted,"finance, financial management, accounting, financial analysis",on-site,full time,senior management,,2 months ago,cairo,cairo, egypt
telesales representative,gahbiz.com,"telesales, sales, customer service, digital marketing",on-site,full time,entry level,,2 months ago,alexandria,alexandria, egypt
