title,company,skills,Type,Duration,experience_level,salary,date_posted,city,governorate,country
technical consultant support,software house solution,"customer support, communication, problem-solving, technical troubleshooting, call center",on-site,full time,entry level,,3 hours ago,heliopolis, cairo, egypt
area sales engineer,bedo company,"engineering, sales",on-site,full time,experienced,,3 hours ago,6th of october, giza, egypt
accounts receivable senior specialist,ariston thermo,"accounting, commerce, english, finance, sap, microsoft office, financial management, tax, account reconciliation",on-site,full time,experienced,,3 hours ago,new cairo, cairo, egypt
b2b sales specialist – chemicals & industrial raw materials | alexandria,horizon chemical for special chemicals,"raw materials, sales, chemistry, chemical engineering, raw material, industrial raw materials, factories, outdoor sales, negotiation, communication, and presentation skills",on-site,full time,experienced,,3 hours ago,stanley, alexandria, egypt
human resources supervisor,eltarek group,"administration, human resources, human resources (hr)",on-site,full time,experienced,,3 hours ago,agami, alexandria, egypt
senior it network & cybersecurity administrator,specialized seamless services,"computer science, network administration, engineering, security, routing",on-site,full time,experienced,,2 hours ago,heliopolis, cairo, egypt
enterprise ai engineer,specialized seamless services,"python, oracle, ai",on-site,full time,experienced,,2 hours ago,cairo,cairo, egypt
electrical maintenance engineer,confidential,"electrical engineering, electrical maintenance, •	cmms platform, •	autocad, •	basic familiarity with electrical design and single-line diagrams, •	use of pdf markup tools for redlining electrical drawings, •	microsoft excel for maintenance logs, basic analysis, and spare parts tracking",on-site,full time,entry level,,2 hours ago,bourj alarab, alexandria, egypt
graphic designer - full time,cizaro,"adobe photoshop, graphic design, design, adobe illustrator, ai design tools, branding",hybrid,full time,experienced,,2 hours ago,new cairo, cairo, egypt
marketing specialist,horeca star,"digital, digital marketing, marketing, e-marketing, communication skills, social media",on-site,full time,experienced,,2 hours ago,new cairo, cairo, egypt
electrical design team leader (lv panel),gila electric,"autocad, electrical engineering, design, engineering, electrical",on-site,full time,experienced,,1 hour ago,10th of ramadan city, sharqia, egypt
electrical utilities engineer,etisal for advanced industries,"electrical engineering, engineering, mechanical engineering",on-site,full time,experienced,,1 hour ago,6th of october, giza, egypt
receptionist,flexfilms egypt,"management, administration, microsoft office, office management, communication, organizational skills, time management, problem-solving, attention to detail",on-site,full time,entry level,,1 hour ago,6th of october, giza, egypt
sales executive,qmove,"sales target achievement, sales strategy, client relationship management, negotiation, communication skills, problem solving, logistics, supply chain management",hybrid,full time,entry level,,1 hour ago,cairo,cairo, egypt
graphic design team leader,my way,"graphic design, adobe illustrator, design, adobe photoshop, team leadership, time management, packaging design, social media advertising",on-site,full time,experienced,,1 hour ago,obour city, cairo, egypt
creative director,confidential,"adobe creative suite, communication, art direction, graphic design, creative, design, marketing",on-site,full time,manager,,60 minutes ago,new cairo, cairo, egypt
technical sales specialist,confidential,"customer service, technical sales, sales, sales management, customer relations, customer support, customer relationship management (crm), product knowledge",on-site,full time,experienced,,48 minutes ago,new cairo, cairo, egypt
sales specialist (french -arabic- english),white gold,"sales, customer service",on-site,full time,entry level,,25 minutes ago,cairo,cairo, egypt
procurement engineer,napata,"engineering, procurement, purchasing, supply chain, business planning, erp, management, odoo erp",on-site,full time,experienced,,17 minutes ago,6th of october, giza, egypt
graphic designer,cairbou coffee egypt,"design, graphic design, adobe photoshop, adobe illustrator, ai, food & beverage",on-site,full time,entry level,,15 minutes ago,maadi, cairo, egypt
operations manager,medexera,"operations management, customer care, business english, sales, management, microsoft office, call center",on-site,full time,experienced,,9 hours ago,downtown, cairo, egypt
sales representative,new hope,"sales, sales target, customer service",remote,full time,experienced,,10 hours ago,mahalla kubra, gharbia, egypt
video content creator,jarz,"marketing, social media, writing, video editing, video production, videography, content creation",hybrid,full time,experienced,,13 hours ago,smart village, giza, egypt
civil technical office engineer (epc projects),saudi-firmness,"civil engineering, engineering, microsoft office, technical office, projects",on-site,full time,entry level,,16 hours ago,cairo,cairo, egypt
technical architect,dewan architects and engineers,"revit, architecture, engineering, technical office",on-site,full time,experienced,,16 hours ago,new cairo, cairo, egypt
assistant project manager,dewan architects and engineers,"project management, project, microsoft office",on-site,full time,experienced,,16 hours ago,new cairo, cairo, egypt
customer service representative,tyrepro egypt co. - continental tyres,"customer care, customer service, customer support, communication, tires, reporting",on-site,full time,experienced,,16 hours ago,new cairo, cairo, egypt
quality assurance supervisor,nature's rule egypt llc,"qa, quality assurance, quality control, test planning, defect tracking, process improvement, agile methodologies",on-site,full time,experienced,,16 hours ago,badr city, cairo, egypt
quality engineer,alunaut,"engineering, quality assurance, quality control, process improvement, root cause analysis, statistical process control, iso 9001, auditing, data analysis",on-site,full time,experienced,,16 hours ago,nasr city, cairo, egypt
advertising sales executive,vision 22 advertising agency,"sales, agencies, marketing agencies, sales target, sales skills, planning",on-site,full time,experienced,,17 hours ago,maadi, cairo, egypt
it infrastructure manager,confidential,"computer science, engineering, information technology (it), project management",on-site,full time,manager,,17 hours ago,alexandria,alexandria, egypt
senior accounting manager,mena for contracting & trading,"accounting, finance, financial analysis, financial management, cma, leadership, management, real estate",on-site,full time,senior management,,17 hours ago,san stefano, alexandria, egypt
supply chain manager,confidential,"logistics, procurement, purchasing, supply, supply chain, planning, erp",on-site,full time,manager,,17 hours ago,smouha, alexandria, egypt
sales executive,leadsmart,"technology, sales, b2b sales, media buying, administration, communication, b2b, crm",on-site,full time,entry level,,17 hours ago,heliopolis, cairo, egypt
technical office manager (electrical low current),confidential,"fire alarm, edwards,, fire alarm system design, tender preparation, cost estimation, autocad, project coordination, technical documentation, low current systems (lc)",on-site,full time,experienced,,17 hours ago,mohandessin, giza, egypt
financial planning and analysis supervisor,orchidia pharmaceutical industries,"accounting, financial, finance, analysis, financial management, planning, financial planning",on-site,full time,experienced,,17 hours ago,cairo,cairo, egypt
senior procurement engineer (raw material),amreyah cement,"procurement, purchasing, raw materials",on-site,full time,experienced,,17 hours ago,cairo,cairo, egypt
internal audit team leader,middle east glass,"auditing, finance, financial analysis, accounting",on-site,full time,experienced,,17 hours ago,nasr city, cairo, egypt
administration manager,confidential,"administration, office management",on-site,full time,manager,,17 hours ago,musturad, qalubia, egypt
material planning section head,amreyah cement,"material planning, planning, engineering, management",on-site,full time,manager,,17 hours ago,cairo,cairo, egypt
internal audit team leader,middle east glass,"auditing, finance, financial analysis, accounting",on-site,full time,experienced,,18 hours ago,nasr city, cairo, egypt
administration manager,confidential,"administration, office management",on-site,full time,manager,,18 hours ago,musturad, qalubia, egypt
material planning section head,amreyah cement,"material planning, planning, engineering, management",on-site,full time,manager,,18 hours ago,cairo,cairo, egypt
medical sales representative - alexandria,orthomedics,"customer service, medical sales, medical, sales target, medical devices sales, otdoor sales, pharmacy",on-site,full time,entry level,,18 hours ago,sidi bishr, alexandria, egypt
health promoter officer,medecins sans frontieres,"paramedical, health promotion, microsoft office, medical, safety, msf, computer skills, teaching, social work",on-site,full time,entry level,,18 hours ago,shubra, cairo, egypt
internal audit supervisor,eagle chemicals,"accounting, auditing, finance, financial analysis, risk management, internal controls, compliance, data analysis",on-site,full time,experienced,,18 hours ago,nozha, cairo, egypt
piping engineer,doosan enerbility co .ltd,"autocad, engineering, mechanical engineering, piping design, welding",on-site,full time,experienced,,18 hours ago,dabaa, matruh, egypt
it specialist,midea group,"computer science, information technology (it), technical support, it asset management, network troubleshooting, english, problem solving, time management",on-site,full time,entry level,,18 hours ago,smart village, giza, egypt
digital marketing & social media specialist,al aidy marketing managment,"digital marketing, e-marketing, marketing, social media",remote,full time,experienced,,18 hours ago,sharqia,sharqia, egypt
stock controller 10th of ramadan,fridal,"accounting, stock control, supply chain, business management, customer service, management, engineering",on-site,full time,entry level,,19 hours ago,10th of ramadan city, sharqia, egypt
automation test engineer.,etisalat egypt,"automation, computer science, information technology (it), software testing, testing, multiple machines, grid",hybrid,full time,experienced,,19 hours ago,mohandessin, giza, egypt
brand manager,confidential,"brand strategy, market analysis, pets, consumer health, business administration, pharmacy, veterinary medicine, brand management",on-site,full time,manager,,19 hours ago,mokattam, cairo, egypt
senior geotechnical engineer,egec,"geotechnical engineering, geotechnical, engineering, engineering services, engineering service, engineering field, civil engineering, design",on-site,full time,experienced,,19 hours ago,haram, giza, egypt
sr. electrical engineer,afniah consulting engineering,"electrical engineering, design, revit, power, lighting, autocad, electrical engineering principles of ksa, electrical engineering codes, ksa electrical engineering standards",on-site,full time,experienced,,19 hours ago,heliopolis, cairo, egypt
electrical tendering engineer – medium voltage panels,tepco s.a.e.,"electrical engineering, medium voltage, tendering, engineering, manufacturing, low voltage, mv",on-site,full time,experienced,,19 hours ago,6th of october, giza, egypt
interior design engineer,el mansour development,"design, engineering, interior design, adobe photoshop, architecture, 3ds max, autocad, computer science, information technology (it)",on-site,full time,experienced,,19 hours ago,mokattam, cairo, egypt
a/r accountant,alarabia group,"accounting, ar, finance, financial analysis, communication, financial, financial reporting, reporting",hybrid,full time,experienced,,19 hours ago,menia, minya, egypt
qc civil engineer,el mansour development,"civil engineering, engineering, construction, qc, autocad, microsoft office, qa, architecture",on-site,full time,experienced,,19 hours ago,cairo,cairo, egypt
design architect,cred developments,"autocad, design, interior, interior design, sketchup, photoshop, 3d max, architecture",on-site,full time,experienced,,19 hours ago,new cairo, cairo, egypt
quality control engineer,la poire,"quality control, quality assurance, engineering, management, microsoft office, quality management, gmp, safety",on-site,full time,experienced,,20 hours ago,basatin, cairo, egypt
merchandiser,bowline egypt,"merchandising, retail",on-site,full time,experienced,,20 hours ago,new cairo, cairo, egypt
deputy branch manager (nationwide egypt),"the micro, small & medium enterprise development agency","branch management, branch operations, financial services, decision making, problem solving, administration",on-site,full time,manager,,20 hours ago,giza,giza, egypt
mechanical technical office & tendering engineer,alhamd contracting company,"autocad, mechanical, mechanical engineering, engineering, technical office, microsoft office, tendering, shop drawings, microsoft excel",on-site,full time,experienced,,20 hours ago,maadi, cairo, egypt
sales development representative (sdr),remote&,"business development, sales, sales development, sales target",remote,full time,entry level,,20 hours ago,cairo,cairo, egypt
configuration intake specialist,riseup (endemag for administrative skills development),"configuration, information technology (it)",hybrid,full time,experienced,,20 hours ago,maadi, cairo, egypt
oracle fusion specialist (supply chain),al-amal al-sharif for plastic,"erp, fusion, computer science, information technology (it), oracle fusion, oracle, supply chain",on-site,full time,entry level,,20 hours ago,sharqia,sharqia, egypt
operations executive - layan branch - new cairo,confidential,"operations, science, management, facility, administration, arts, maintenance",on-site,full time,experienced,,21 hours ago,maadi, cairo, egypt
senior site engineer - architecture,redminds developments,"construction management, architectural engineering, real estate development, technical office leadership, autocad, revit, project management, team leadership, cost estimation",on-site,full time,senior management,,21 hours ago,cairo,cairo, egypt
assistant to the chief operating officer (coo),afniah consulting engineering,"personnel management, microsoft excel, microsoft word, presentations, time scheduling, real time management, microsoft outlook, engineering consulting, engineering design",on-site,full time,experienced,,21 hours ago,heliopolis, cairo, egypt
accountant,national technology group,"accounting, microsoft office, accounts payable",on-site,full time,experienced,,21 hours ago,6th of october, giza, egypt
technical office architect team leader,redminds developments,"construction management, architectural engineering, real estate development, technical office leadership, autocad, revit, project management, team leadership, cost estimation",on-site,full time,experienced,,21 hours ago,cairo,cairo, egypt
graphic designer,confidential,"graphic design, design, photoshop, graphic, illustrator, canva, adobe photoshop, adobe illustrator",remote,full time,experienced,,21 hours ago,cairo,cairo, egypt
account manager (partner relationship manager),next technology development,"account management, business administration, business development, communication, customer service, management, marketing",on-site,full time,experienced,,21 hours ago,cairo,cairo, egypt
senior key account manager – engineering,wadi degla clubs,"ups, datacenter, hvac, engineering, sales, electromechanical engineering, marketing",on-site,full time,experienced,,21 hours ago,cairo,cairo, egypt
senior technical office engineer,system one,"technical office, maintenance, engineering, autocad, construction, management, microsoft excel, microsoft office, planning",on-site,full time,experienced,,21 hours ago,mokattam, cairo, egypt
planning lead,fine hygienic holding,"planning, logistics management, logistics, supply chain, forecasting, engineering, business administration, business development",on-site,full time,experienced,,21 hours ago,6th of october, giza, egypt
personnel specialist,confidential,"human resources (hr), personnel, human resources, microsoft office, social insurance, medical insurance, business administration",on-site,full time,experienced,,22 hours ago,new cairo, cairo, egypt
marketing director,our education,"marketing, management, branding, digital marketing, leadership, market research, marketing campaigns",on-site,full time,senior management,,22 hours ago,maadi, cairo, egypt
training manager,cairbou coffee egypt,"human resources (hr), management, training, curriculum development, performance management, talent development, learning & development, coaching",on-site,full time,manager,,22 hours ago,maadi, cairo, egypt
sales manager,erpplus5,"sales, sales target, customer service, erp system, erp sales, erp solutions, e-marketing, microsoft office",on-site,full time,manager,,22 hours ago,maadi, cairo, egypt
packaging & development officer,dabur,"science, r&d",on-site,full time,experienced,,22 hours ago,10th of ramadan city, cairo, egypt
enterprise sales executive,secu tech,"sales target, it service management, sales, b2b sales, computer science, customer service",on-site,full time,experienced,,22 hours ago,smart village, giza, egypt
executive secretary,ift corporation,"executive secretary, office management, business administration, microsoft office, administration",on-site,full time,experienced,,22 hours ago,mokattam, cairo, egypt
executive chef – iraq,top organic,"head chef, executive management, team leadership, menu costing, microsoft office, leadership, hospitality, food cost",on-site,full time,manager,,22 hours ago,cairo,cairo, egypt
recruitment officer,power solutions,"human resources (hr), personnel management, recruitment, microsoft office, candidate sourcing, interviewing, onboarding, talent acquisition",on-site,full time,experienced,,22 hours ago,6th of october, giza, egypt
senior customer service & logistics specialist,confidential,"customer service, inside sales, sales target, sales, administration, business administration, communication",on-site,full time,experienced,,22 hours ago,maadi, cairo, egypt
medical sales representative,samy medical,"medical sales, sales target achievement, client relationship management, product knowledge, communication skills, negotiation, presentation skills, market analysis, territory management",on-site,full time,entry level,,23 hours ago,alexandria,alexandria, egypt
financial planning & analysis (fp&a) & budgeting manager,am group,"accounting, finance, budgeting, analysis, financial planning, financial management, cma, financial",on-site,full time,manager,,23 hours ago,cairo,cairo, egypt
professional tourist visa consultant,trip house travel,"visa processing, worldwide visa regulations, tourism visa expertise, client consultation, sales acumen, customer service excellence, document management",on-site,full time,experienced,,23 hours ago,nasr city, cairo, egypt
treasury & banking manager,am group,"accounting, banking, treasury, finance, financial analysis, manufacturing, microsoft excel",on-site,full time,manager,,23 hours ago,obour city, cairo, egypt
collections specialist,tbk developments,"accounting, collection, finance, financial, microsoft office",on-site,full time,entry level,,23 hours ago,new cairo, cairo, egypt
junior accountant,egyptian english language schools,"accounting, computer software, financial, finance, analytical, microsoft office, ms office, financial analysis, financial reporting",on-site,full time,entry level,,23 hours ago,alexandria,alexandria, egypt
operations manager,confidential,"management, microsoft office",on-site,full time,manager,,23 hours ago,cairo,cairo, egypt
business solutions manager (manufacturing - logistics),kgroup,"oracle fusion erp, erp implementation & support, business applications management, system integration, application support, sla management, it service management (itsm)",on-site,full time,manager,,23 hours ago,obour city, cairo, egypt
store manager,beneshty,"retail, store management, sales, negotiation, team management",on-site,full time,manager,,23 hours ago,mohandessin, giza, egypt
technical support engineer,oppo egypt,"management, computer science, english, information technology (it), skills, technical support, engineering, communication",on-site,full time,entry level,,23 hours ago,nasr city, cairo, egypt
back office application support engineer,confidential,"application support, computer science, information technology (it), information systems, microsoft office, communication, customer support",on-site,full time,entry level,,23 hours ago,shorouk city, cairo, egypt
senior design engineer- security systems,audio technology,"engineering, design, security systems, light current systems, cctv system, presales",on-site,full time,experienced,,23 hours ago,sheraton, cairo, egypt
sales engineer - aluminum,confidential,"development, sales target, communication, construction, engineering, building materials, sales",on-site,full time,experienced,,24 hours ago,cairo,cairo, egypt
corporate sales specialist - medical insurance,محمود سليمان للوساطة التامينية,"corporate sales, medical insurance, sales target achievement, client relationship management, negotiation, presentation skills, market analysis",on-site,full time,experienced,,24 hours ago,nasr city, cairo, egypt
operations associate,clevrly,"customer service, customer support, sales, business english, crm software, operations management, standard operating procedure",on-site,full time,entry level,,1 day ago,cairo,cairo, egypt
equipment engineer – caterpillar equipment - yemen,kamf real estate marketing,"heavy equipment, maintenance, communication, engineering, management, mechanical, mechanical engineering",on-site,full time,experienced,,2 days ago,cairo,cairo, egypt
electrical engineer – caterpillar equipment-yemen,kamf real estate marketing,"electrical engineering, engineering, communication, control systems, heavy equipment, maintenance, mechanical engineering, troubleshooting",on-site,full time,experienced,,2 days ago,cairo,cairo, egypt
fresh real estate agent,the address investments for real estate consultancy,"real estate, sales, sales target, communication, customer service, marketing, ms office, crm, negotiation",on-site,full time,entry level,,2 days ago,cairo,cairo, egypt
senior web developer,madar soft,"computer science, information technology (it), software development, web, css, javascript, mvc, agile",remote,full time,experienced,,2 days ago,fleming, alexandria, egypt
recruitment coordinator,riseup (endemag for administrative skills development),"administration, business administration, communication, hr, human resources (hr), management, microsoft office, recruitment",hybrid,full time,entry level,,2 days ago,maadi, cairo, egypt
job change engineer-glass experience,kandil glass,"glass, maintenance",on-site,full time,experienced,,2 days ago,cairo,cairo, egypt
business development specialist,arla group,"business development, marketing, sales, business administration, administration, corporate sales, b2b, crm",on-site,full time,experienced,,2 days ago,sheikh zayed, giza, egypt
procurement engineer,east,"supply chain, procurement, engineering",on-site,full time,entry level,,2 days ago,maadi, cairo, egypt
recruitment & talent acquisition specialist,arla group,"human resources (hr), interviewing, recruitment, talent acquisition",on-site,full time,entry level,,2 days ago,sheikh zayed, giza, egypt
finance manager,confidential,"financial data analysis, financial management, budgeting, cashflow managment, financial reporting, cost control, leadership, financial planing",on-site,full time,manager,,2 days ago,maadi, cairo, egypt
procurement manager,suez canal container terminal,"procurement, logistics, management, supply chain",on-site,full time,manager,,2 days ago,port fuad, port said, egypt
chromatography specialist,confidential,"chromatography, application specialist, analytical instrument sales / technical executive, product specialist - analytical equipment, agriculture",on-site,full time,experienced,,2 days ago,cairo,cairo, egypt
founding operations manager (launch team),laundo,"operations management, logistics, supply chain, last mile, fleet management, dispatch, route planning",on-site,full time,manager,,2 days ago,new cairo, cairo, egypt
sales specialist - 6th of october,b.tech,"sales, sales target, stock accuracy, marketing, products safety, stock control, maintenance, invoicing, sales tracking",on-site,full time,entry level,,2 days ago,6th of october, giza, egypt
finance manager,confidential,"financial management, budgeting, cost accounting, financial, manufacturing, oracle, financial analysis",on-site,full time,manager,,2 days ago,cairo,cairo, egypt
contact center operations supervisor,waffarha.com,"call center, contact center, customer service, customer support, analysis, management, leadership, performance management",on-site,full time,manager,,2 days ago,sheraton, cairo, egypt
senior fire protection engineer,ece,"design, engineering, mechanical, mechanical engineering",on-site,full time,experienced,,2 days ago,sheraton, cairo, egypt
interior designer,confidential,"autocad, photoshop cs6, 3ds max, microsoft office, interior design, architectural engineering, business english, design",on-site,full time,entry level,,2 days ago,nasr city, cairo, egypt
customer experience & engagement analyst,tank,"customer experience, crm, power bi, microsoft power bi, advanced excel, microsoft excel, dashboards, odoo",on-site,full time,experienced,,2 days ago,new nozha, cairo, egypt
marketing specialist,olis holding,"marketing, creative ideas",on-site,full time,experienced,,2 days ago,10th of ramadan city, sharqia, egypt
general accountant,olis holding,"accounting, finance, financial analysis, accounting software, financial management",on-site,full time,entry level,,2 days ago,10th of ramadan city, sharqia, egypt
supply chain manager,confidential,"supply chain management, logistics, procurement, supply, purchasing, inventory management, vendor management, strategic sourcing, operations management",on-site,full time,manager,,2 days ago,cairo,cairo, egypt
sales account manager - wuzzuf,wuzzuf,"sales target, sales, customer service",hybrid,full time,entry level,,2 days ago,maadi, cairo, egypt
senior material planner,swiss garment company,"material planning, material requirements planning (mrp), supply chain",on-site,full time,experienced,,2 days ago,10th of ramadan city, sharqia, egypt
technical support / it specialist,swiss garment company,"communication, computer science, information technology (it), networking, troubleshooting, technical support, customer support",on-site,full time,experienced,,2 days ago,10th of ramadan city, sharqia, egypt
business development specialist ( sales outdoors),horeca star,"business development, sales, sales skills, sales target, communication, english, outdoor sales, communication skills",on-site,full time,experienced,,2 days ago,cairo,cairo, egypt
quality assurance specialist,national glass,"qa, quality assurance, test cases, bug reporting, manual testing, software development life cycle (sdlc), communication skills",on-site,full time,entry level,,2 days ago,10th of ramadan city, sharqia, egypt
customer service assistant,qmove,"customer service, customer care, customer support, communication, ms office, sales, crm",on-site,full time,entry level,,2 days ago,cairo,cairo, egypt
social media designer,swapdor international trading,"e-marketing, social media, marketing, communication, creative, adobe photoshop, design",on-site,full time,entry level,,2 days ago,cairo,cairo, egypt
مطور تطبيقات flutter (junior flutter developer),corbit company,"flutter, dart programming, rest apis, git, json, debugging, problem solving",remote,full time,entry level,,2 days ago,cairo,cairo, egypt
facility engineer,mersal,"electrical engineering, engineering, mechanical engineering, facility management, mep, mechanical",on-site,full time,experienced,,2 days ago,maadi, cairo, egypt
treasury accountant,khater sports group,"construction, treasury, accounting, financial analysis, construction finance, cash management, risk management, forecasting",on-site,full time,experienced,,2 days ago,nasr city, cairo, egypt
qa manager (background foods),confidential,"quality assurance, food safety, haccp implementation, iso standards compliance, analytical thinking, audit management, english",on-site,full time,manager,,2 days ago,6th of october, giza, egypt
graphic designer,snaabble,"graphic design, adobe photoshop, adobe illustrator, social media design, branding, visual design, creative",on-site,full time,entry level,,2 days ago,talkha, dakahlia, egypt
telesales representative,nextera education,"telesales, sales, customer service, microsoft office, negotiation, crm, communication",on-site,full time,experienced,,2 days ago,maadi, cairo, egypt
accountant,arma non food,"accounting, finance, financial analysis, financial management, accounting software, accounts payable, bookkeeping, financial, financial reporting",on-site,full time,experienced,,2 days ago,talkha, dakahlia, egypt
senior corporate sales executive,carofi,"sales, sales skills, telesales, communication, outdoor sales, sales target, sales plan",on-site,full time,experienced,,2 days ago,new cairo, cairo, egypt
performance marketing manager.,confidential,"marketing, b2b, ai, demand planning, gtm, export development, ads",hybrid,full time,experienced,,2 days ago,alsadat city, monufya, egypt
senior export sales operation,al amir ingredients,"export sales operation, food intgredients industry, asptic concentrates, technical data sheets(tds), cerificates of analysis(coa), incoterms fob cif cfr, sap s/4hana, zoho crm",on-site,full time,experienced,,2 days ago,alsadat city, monufya, egypt
export sales manager,al amir ingredients,"export documentation, crm systems( zoho/sales force, b2b sales, food ingredients insustry, tecnical data sheets (tds), certificates of anaysis(coa), incoterms(fob,cif,cfr)",on-site,full time,manager,,2 days ago,alsadat city, monufya, egypt
civil engineer,aga khan cultural services- egypt (akcs-e),"architecture, civil engineering, construction, engineering",on-site,full time,experienced,,2 days ago,darrasa, cairo, egypt
senior architecture eng.,ghoneim developments group,"architecture, autocad, engineering",on-site,full time,experienced,,2 days ago,new cairo, cairo, egypt
administrative assistant,aladly &co,"administration, office management, microsoft office, customer support, communication, data entry, management",on-site,full time,entry level,,2 days ago,sheikh zayed, giza, egypt
junior technical consultant engineer - aluminum,alumil,"engineering, microsoft excel, communication, technical support, autocad, computer science, computer skills, information technology (it)",on-site,full time,experienced,,2 days ago,heliopolis, cairo, egypt
local purchasing manager,national glass,"procurement, purchasing, vendor management, negotiation, supply chain management, contract management, cost reduction, logistics, stakeholder management",on-site,full time,manager,,2 days ago,sharqia,sharqia, egypt
digital marketing team leader (fashion/ e-commerce),casa sancho,"administration, marketing, marketing operations, sales, digital marketing, communication, coordination",hybrid,full time,experienced,,2 days ago,cairo,cairo, egypt
spare parts operations lead,raya auto,"vendor management, inventory control, spare parts sales, operations management, spare parts logistics, supply chain optimization, customer relationship management",on-site,full time,experienced,,2 days ago,giza,giza, egypt
quality assurance coordinator,cairo three a  for agricultural and animal production,"qa, quality assurance, agriculture, lab analysis, data collection, documentation, problem solving, attention to detail, communication skills",on-site,full time,entry level,,2 days ago,new cairo, cairo, egypt
talent acquisition specialist (blue collars),anasia egypt for trading,"human resources (hr), interviewing, recruitment, talent acquisition",on-site,full time,entry level,,2 days ago,sheraton, cairo, egypt
senior talent acquisition specialist,gazala steel fabrication gsf,"human resources, human resources (hr), hiring, talent acquisition, recruitment, blue-collar",on-site,full time,experienced,,2 days ago,new cairo, cairo, egypt
hr manager,confidential,"hr, human resources (hr), microsoft office, recruitment, personnel",on-site,full time,manager,,2 days ago,nasr city, cairo, egypt
quantity surveying engineer,module streamline,"autocad, engineering, quantity surveying, civil engineering, surveying",on-site,full time,experienced,,2 days ago,6th of october, giza, egypt
senior property consultant,emarcom group developments,"property sales, real estate market analysis, client relationship management, sales target achievement, negotiation, communication skills, market research, presentation skills, lead generation",on-site,full time,experienced,,2 days ago,giza,giza, egypt
technical office engineer (shop drawings),module streamline,"engineering, shop drawings, technical office",on-site,full time,experienced,,2 days ago,6th of october, giza, egypt
electrical maintenance engineer,east,"maintenance, electrical engineering, electrical maintenance",on-site,full time,experienced,,2 days ago,maadi, cairo, egypt
cost accountant,acry hub,"accounting, finance, cost accounting, commerce, financial analysis",on-site,full time,experienced,,2 days ago,albagour, monufya, egypt
export sales manager – marble & granite,tabarak marble,"export sales, export, sales target, customer service, sales, building materials, sales field, logistics",on-site,full time,manager,,2 days ago,masr al qadima, cairo, egypt
civil engineer,academia for industrial solutions,"civil engineering, communication, engineering, projects",on-site,full time,entry level,,2 days ago,new cairo, cairo, egypt
hse manager,akhnaton trading and distribution - eva group limted,"administration, engineering, health and safety, hse management, hse, safety, management",on-site,full time,manager,,2 days ago,downtown, cairo, egypt
supply chain manager – chemical additives industry ‎,confidential,"supply chain, supply, purchasing, procurement, logistics, sales operations",on-site,full time,manager,,2 days ago,giza,giza, egypt
mechanical engineer,flex asepto,"cad, electrical engineering, engineering, maintenance, management, mechanical, mechanical engineering, project management, troubleshooting",on-site,full time,experienced,,2 days ago,ain sokhna, suez, egypt
supply chain section head,confidential,"procurement, purchasing, supply chain, logistics, management, supply, supply chain management",on-site,full time,manager,,2 days ago,6th of october, giza, egypt
junior technical drafter,hswoodindustries,"3d modeling, autocad, rendering",on-site,full time,experienced,,2 days ago,new nozha, cairo, egypt
claims auditor - resubmission unit,al ahly medical company,"medical claims, medical, auditing, reporting, quality assurance, data analysis, attention to detail, regulatory compliance",on-site,full time,experienced,,2 days ago,giza, giza, egypt
cnc wood machinery operator,hswoodindustries,"cnc machines, woodworking, machine operator",on-site,full time,experienced,,2 days ago,cairo,cairo, egypt
financial officer,alshrouk paper,"finance, financial analysis, financial management, budgeting, forecasting, strategic planning, risk management, compliance, accounting software",on-site,full time,manager,,2 days ago,alsadat city, monufya, egypt
junior technical facade engineer,cpc,"aluminum & glazing, aluminum, engineering, facade design, structural analysis, cad software, material science, building codes",on-site,full time,entry level,,2 days ago,maadi, cairo, egypt
sales teamleader,ehg intelligence,"sales, b2b sales, field sales, cold calling, lead generation, team leadership, account management, crm",on-site,full time,experienced,,2 days ago,sheikh zayed, giza, egypt
recruitment & l&d specialist,ferrometalco steel construction,"human resources (hr), recruitment, training, development",on-site,full time,entry level,,2 days ago,belbes, sharqia, egypt
bim senior facade engineer,cpc,"aluminum, façade engineering, glazing, bim, engineering, revit, autocad, civil3d",on-site,full time,experienced,,2 days ago,maadi, cairo, egypt
مدير مالي,confidential,"قيادة الفريق, التخطيط المالي, إدارة السيولة والتحصيل, إعداد التقارير, الدقة والقدرة على اتخاذ القرار",on-site,full time,senior management,,2 days ago,new cairo, cairo, egypt
process engineer,haier electric egypt,"engineering, erp systems, process mapping, six sigma, mechanical engineering, fmea, computer science, information technology (it)",on-site,full time,experienced,,2 days ago,10th of ramadan city, sharqia, egypt
sales development representative (pre-sales),logiworx,"sales, business development, development, pre-sales, sales development, sales target, communication, startup",remote,part time,experienced,,2 days ago,cairo,cairo, egypt
b2b business developer,aces contact center,"lead generation, b2b, sales, business development, business process outsourcing, bpo, telesales",remote,full time,entry level,,2 days ago,cairo,cairo, egypt
payroll specialist,burger king,"payroll, human resources (hr), personnel, recruitment",on-site,full time,senior management,,2 days ago,heliopolis, cairo, egypt
facade design team leader,cpc,"aluminum, bim, cad, engineering, shop drawings, facade design, architectural design",on-site,full time,experienced,,2 days ago,maadi, cairo, egypt
risk & compliance senior specialist,royal herbs,"quality assurance, quality management system, risk and compliance, pharmaceutical industry, pharma, quality auditing, certified internal auditor (cia), certified information systems auditor",on-site,full time,experienced,,2 days ago,haram, giza, egypt
