title,company,location,skills,Type,Duration,experience_level,salary,date_posted
Business and Economics Teacher,Confidential -,"New Cairo, Cairo, Egypt ","['business administration', 'accounting']",On-site,Full Time,Experienced,Confidential,14 days ago
Senior Business Development Executive - Construction,LEEDS FIT-OUT    -,"Sheikh Zayed, Giza, Egypt ","['business development', 'communication', 'communication skills', 'construction', 'negotiation', 'presentation', 'sales', 'sales skills', 'sales target']",On-site,Full Time,Experienced,Confidential,14 days ago
Mathematics Teacher,Akhnaton Egyptian Language  School -,"New Cairo, Cairo, Egypt ","['education', 'teaching', 'mathematics instruction', 'mathematics']",On-site,Full Time,Experienced,Confidential,14 days ago
Media Buyer,Innovera for Education Technology -,"New Cairo, Cairo, Egypt ","['digital marketing', 'marketing', 'social media']",On-site,Full Time,Entry Level,Confidential,14 days ago
Digital marketing instructor,Yat Learning Centers -,"Heliopolis, Cairo, Egypt ","['digital marketing', 'e-marketing', 'social media', 'seo', 'teaching', 'instructor']",On-site,Full Time,Experienced,Confidential,14 days ago
Data analysis Instructor,Yat Learning Centers -,"Heliopolis, Cairo, Egypt ","['ui', 'ux', 'graphic design', 'ui/ux', 'figma', 'teaching', 'instructor']",On-site,Full Time,Experienced,Confidential,14 days ago
Leasing Specialist,Takery -,"New Cairo, Cairo, Egypt ","['leasing', 'sales', 'food & beverage', 'accounting', 'administration', 'finance', 'microsoft office']",On-site,Full Time,Experienced,Confidential,14 days ago
Business Analyst / Product Owner - Fresh Graduate - Alxexandria,Alexandria For Programming -,"Bolkly, Alexandria, Egypt ","['product owner', 'business analysis', 'project managment', 'information systems', 'information technology (it)', 'development', 'product', 'computer', 'computer science']",On-site,Internship,Entry Level,Confidential,14 days ago
Software Tester- Fresh Graduate - Alxexandria,Alexandria For Programming -,"Bolkly, Alexandria, Egypt ","['computer science', 'information technology (it)', 'software testing', 'quality control', 'software development', 'software engineering']",Remote,Internship,Student,Confidential,14 days ago
Customer Service Manager,Al Seif Group -,"Smouha, Alexandria, Egypt ","['customer service', 'customer support', 'customer care', 'team leadership', 'conflict resolution', 'communication skills', 'crm software']",On-site,Full Time,Experienced,Confidential,14 days ago
Receptionist,Florence dental care -,"Cairo, Egypt ","['office management', 'administration', 'microsoft office suite', 'customer service', 'communication skills', 'organizational skills', 'time management', 'problem-solving']",On-site,Full Time,Experienced,Confidential,14 days ago
Logistics (Outbound Distribution) Manager,Confidential -,"New Cairo, Cairo, Egypt ","['distribution', 'logistics']",On-site,Full Time,Manager,Confidential,14 days ago
Senior Sales Specialist,Takery -,"New Cairo, Cairo, Egypt ","['sales', 'food & beverage', 'business development', 'communication', 'customer service', 'business administration', 'microsoft office', 'real estate']",On-site,Full Time,Experienced,Confidential,14 days ago
Junior GIS Technician,Citylogix ME   -,"Katameya, Cairo, Egypt ","['arc gis', 'gis', 'qgis']",On-site,Full Time,Entry Level,Confidential,14 days ago
Business Analyst,Confidential -,"Dokki, Giza, Egypt ","['analysis', 'business analysis', 'computer science', 'data modeling', 'sql', 'requirements gathering', 'process improvement', 'stakeholder management']",On-site,Full Time,Experienced,Confidential,14 days ago
Product Owner,Confidential -,"Dokki, Giza, Egypt ","['agile methodologies', 'computer science', 'software development life cycle (sdlc)', 'product management', 'scrum', 'requirements gathering', 'stakeholder management', 'jira']",On-site,Full Time,Experienced,Confidential,14 days ago
German B2B Sales Representative,Alexandria For Programming -,"Bolkly, Alexandria, Egypt ","['b2b', 'b2b sales']",Remote,Part Time,Entry Level,Confidential,14 days ago
MIS Manager,Etisalat Egypt -,"Cairo, Egypt ","['computer science', 'information technology (it)', 'project management', 'mis']",On-site,Full Time,Manager,Confidential,14 days ago
Costing Accountant,Confidential -,"Nasr City, Cairo, Egypt ","['cost accounting', 'accounting', 'financial analysis', 'finance']",On-site,Full Time,Experienced,Confidential,14 days ago
Head of Localization,NERIC -,"New Heliopolis, Cairo, Egypt ","['localization strategy & local content development', 'supplier development & qualification', 'industrialization', 'technology transfer']",On-site,Full Time,Senior Management,Confidential,14 days ago
Head of Sales EXP 15+ (Developer ),Aswaq -,"Sheraton, Cairo, Egypt ","['sales', 'sales target', 'management', 'real estate sales', 'real estate developer', 'business development', 'sales management']",On-site,Full Time,Senior Management,Confidential,14 days ago
Human Resources Supervisor,Intertrade Co.  -,"10th of Ramadan City, Sharqia, Egypt ","['human resources', 'human resources (hr)', 'personnel', 'microsoft office', 'recruitment', 'payroll', 'erp']",On-site,Full Time,Experienced,Confidential,14 days ago
Packaging Graphic Designer,Confidential -,"Nasr City, Cairo, Egypt ","['adobe illustrator', 'adobe photoshop', 'design', 'packaging', 'graphic design']",On-site,Full Time,Experienced,Confidential,14 days ago
Design Architecture Engineer manager,ECE -,"Cairo, Egypt ","['engineering', 'architectural engineering', 'architecture design']",On-site,Full Time,Manager,Confidential,14 days ago
Procurement Engineer,Saudi-firmness -,"Katameya, Cairo, Egypt ","['engineering', 'purchasing', 'procurement', 'supply chain management', 'vendor management', 'negotiation', 'technical specification analysis']",On-site,Full Time,Entry Level,Confidential,14 days ago
Senior Talent Management Specialist,NERIC -,"Cairo, Egypt ","['talent management', 'talent acquisition']",On-site,Full Time,Experienced,Confidential,14 days ago
Master Data Management Specialist (MDM Specialist),NERIC -,"Port Said, Egypt ","['master data management (mdm)', 'analytical thinking', 'mdm tools (informatica, sap mdg, oracle mdm)', 'problem solving', 'administration', 'communication', 'data analysis', 'data entry']",On-site,Full Time,Experienced,Confidential,14 days ago
Office Administrator - Disability Candidates.,McKinsey & Company -,"New Cairo, Cairo, Egypt ","['administration', 'microsoft office', 'office management']",On-site,Full Time,Entry Level,Confidential,14 days ago
Production Engineer,saudi company for manufacture of pipes &fitting -,"Giza, Egypt ","['mechanical engineering', 'manufacturing engineering', 'mechanical', 'production', 'manufacturing', 'engineering', 'pipe']",On-site,Full Time,Experienced,Confidential,14 days ago
Technical Office Desiger,HOFFEN -,"Mohandessin, Giza, Egypt ","['autocad', 'microsoft office', '3ds max', 'adobe photoshop']",On-site,Full Time,Entry Level,Confidential,14 days ago
Marketing Operations,Pure Group  -,"Cairo, Egypt ","['retail', 'market research', 'project management', 'analysis', 'marketing', 'marketing operations', 'fmcg marketing', 'operating models']",On-site,Full Time,Manager,Confidential,14 days ago
Sales Account Manager - Hospitality Sector,Audio Technology -,"Sheraton, Cairo, Egypt ","['sales', 'hospitality']",On-site,Full Time,Experienced,Confidential,14 days ago
Oracle Fusion HCM Technical Consultant,Dautom -,"Cairo, Egypt ","['fusion', 'hcm', 'oracle', 'oracle technical', 'oracle fusion', 'information technology (it)', 'computer science', 'oracle hcm', 'soap']",Hybrid,Full Time,Experienced,Confidential,14 days ago
Brand Manager,Pure Group  -,"Cairo, Egypt ","['brand management', 'market research', 'project management', 'branding', 'marketing', 'advertising', 'fmcg marketing', 'operating plan development', 'activation strategy']",On-site,Full Time,Manager,Confidential,14 days ago
Presales Active Network Engineer,Audio Technology -,"Sheraton, Cairo, Egypt ","['engineering', 'network']",On-site,Full Time,Experienced,Confidential,14 days ago
Product Manager,Shabana Group  -,"Nasr City, Cairo, Egypt ","['product development', 'product management', 'sales', 'market research', 'marketing', 'product', 'management', 'communication']",On-site,Full Time,Experienced,Confidential,14 days ago
"Field Sales Supervisor, B2B",Mazaya -,"Cairo, Egypt ","['b2b', 'sales', 'sales target']",On-site,Full Time,Experienced,Confidential,14 days ago
"Commercial Section Head, B2B",Mazaya -,"New Cairo, Cairo, Egypt ","['b2b', 'sales', 'sales target']",On-site,Full Time,Experienced,Confidential,14 days ago
Presales Passive Infrastructure Network Engineer,Audio Technology -,"Sheraton, Cairo, Egypt ","['engineering', 'network']",On-site,Full Time,Experienced,Confidential,14 days ago
Planning Engineer (Material Planning),SAVOLA -,"10th of Ramadan City, Sharqia, Egypt ","['material planning', 'planning', 'supply chain', 'sap', 'project management', 'civil engineering', 'engineering', 'management']",On-site,Full Time,Experienced,Confidential,14 days ago
Sales Associate,Diamond Medical Services -,"Heliopolis, Cairo, Egypt ","['customer service', 'sales', 'sales target', 'medical', 'communication', 'sales field', 'outdoor sales']",On-site,Full Time,Entry Level,Confidential,14 days ago
Senior .NET Developer (C#),Jadeer  -,"Cairo, Egypt ","['software development', 'software engineering', 'information technology (it)', 'computer science', 'c', '.net']",On-site,Full Time,Experienced,Confidential,14 days ago
HR Specialist,saudi company for manufacture of pipes &fitting -,"Giza, Egypt ","['human resources', 'administration', 'business administration', 'training', 'management', 'hr systems', 'hr admin']",On-site,Full Time,Experienced,Confidential,14 days ago
Educational Assistant for Middle school,Canadian International School -,"New Cairo, Cairo, Egypt ","['teaching', 'education', 'english', 'english literature', 'co-teaching', 'co-teacher', 'communication skills']",On-site,Full Time,Experienced,Confidential,14 days ago
Financial Manager,saudi company for manufacture of pipes &fitting -,"6th of October, Giza, Egypt ","['accounting', 'finance', 'financial', 'financial analysis', 'financial management', 'management', 'microsoft excel', 'erp', 'budgeting']",On-site,Full Time,Manager,Confidential,14 days ago
NI Sales Engineer,Hauslift -,"Cairo, Egypt ","['technical sales', 'negotiation', 'client relationship management', 'communication', 'proposal writing', 'technical presentation']",On-site,Full Time,Experienced,Confidential,14 days ago
Procurement Manager,MENA For Contracting & Trading -,"San Stefano, Alexandria, Egypt ","['procurement', 'purchasing', 'supply chain', 'logistics', 'engineering', 'construction', 'erp system']",On-site,Full Time,Manager,Confidential,14 days ago
Mechatronics Maintenance Engineer,Modupay -,"10th of Ramadan City, Sharqia, Egypt ","['mechatronics', 'preventive maintenance', 'troubleshooting', 'plc programming', 'automation systems', 'technical documentation', 'problem solving']",On-site,Full Time,Entry Level,Confidential,14 days ago
Procurement Specialist,Middle East Glass -,"Musturad, Qalubia, Egypt ","['purchasing', 'procurement']",On-site,Full Time,Entry Level,Confidential,14 days ago
Senior Full Stack Developer,ITIDA -,"Smart Village, Giza, Egypt ","['information technology (it)', 'design, development', 'software development', 'digital transformation', 'rest/graphql apis', 'ci/cd pipelines and automated testing', 'computer science']",Hybrid,Full Time,Experienced,Confidential,14 days ago
Warehouse Keeper,Fiber Com  -,"Mokattam, Cairo, Egypt ","['warehousing', 'logistics', 'supply chain', 'computer skills', 'microsoft office', 'erp', 'warehousing management']",On-site,Full Time,Experienced,Confidential,14 days ago
Business Development Supervisor,Cairo Three A  for International Industries. -,"Cairo, Egypt ","['business development', 'development', 'sales strategy', 'client relationship management', 'market research', 'negotiation', 'lead generation', 'team leadership', 'strategic planning']",On-site,Full Time,Experienced,Confidential,14 days ago
Mechanical Engineer,Nissan Ahmed Marey -,"Smouha, Alexandria, Egypt ","['warranty management', 'system center service manager', 'workshop engineering', 'service advisory', 'mechanical engineering', 'electrical engineering', 'customer service', 'technical support']",On-site,Full Time,Experienced,Confidential,14 days ago
Senior Infrastructure Systems Engineer,ITIDA -,"Smart Village, Giza, Egypt ","['computer science', 'information technology (it)', 'systems', 'engineering', 'computer engineering', 'vmware / vsphere / esxi / vcenter', 'windows server / active directory / gpo']",Hybrid,Full Time,Experienced,Confidential,14 days ago
Sales Executive - Food Department,Al Massat Life Sciences Egypt -,"Cairo, Egypt ","['sales', 'sales target', 'b2b', 'b2b sales', 'communication', 'customer service', 'engineering', 'microsoft office', 'negotiation']",On-site,Full Time,Senior Management,Confidential,14 days ago
Talent Acquisition Specialist,SURE International Technology -,"Cairo, Egypt ","['human resources (hr)', 'talent acquisition', 'recruitment', 'candidate sourcing', 'interviewing', 'applicant tracking systems (ats)', 'onboarding', 'employer branding', 'communication skills']",Hybrid,Full Time,Experienced,Confidential,14 days ago
Pharmaceutical Analysis Teacher,Arab Skills   -,"Obour City, Cairo, Egypt ","['pharmaceutical', 'pharmacy', 'analysis', 'teaching', 'gmp']",On-site,Full Time,Experienced,Confidential,14 days ago
Incubation Program Lead,ITIDA -,"6th of October, Giza, Egypt ","['computer science', 'information technology (it)', 'startup', 'reporting', 'ai and technologies', 'ecosystem']",Hybrid,Full Time,Experienced,Confidential,14 days ago
Production Engineer,Target for Chemicals industry and trade -,"Bourj Alarab, Alexandria, Egypt ","['production', 'mechanical engineering', 'manufacturing', 'engineering', 'chemistry', 'communication']",On-site,Full Time,Experienced,Confidential,14 days ago
HR Manager,iLock -,"Mit Ghamr, Dakahlia, Egypt ","['hr', 'human resources (hr)', 'personnel', 'recruitment']",On-site,Full Time,Manager,Confidential,14 days ago
Mechanical Tender Engineer,CSI -,"Heliopolis, Cairo, Egypt ","['engineering', 'mechanical engineering', 'mechanical', 'boq', 'cost estimation', 'mep equipment', 'shop drawings']",On-site,Full Time,Experienced,Confidential,14 days ago
Admission and Public Relations Officer ( American Devision),Manhattan Schools -,"Maadi, Cairo, Egypt ","['administration', 'marketing', 'public relations (pr)', 'schools', 'microsoft office', 'customer service', 'communication skills']",On-site,Full Time,Experienced,Confidential,14 days ago
Sales Distribution Manager - Giza,Confidential -,"6th of October, Giza, Egypt ","['sales', 'sales target', 'sales skills', 'sales distribution', 'computer skills', 'communication skills', 'sales management', 'communication']",On-site,Full Time,Manager,Confidential,14 days ago
Bank Reconciliation Accountant,MATGR For Engineering And Trading -,"New Cairo, Cairo, Egypt ","['accounting', 'bank reconciliation', 'finance', 'reconciliation']",On-site,Full Time,Experienced,Confidential,14 days ago
Planning Team Leader - Civil,Confidential -,"New Cairo, Cairo, Egypt ","['civil engineering', 'planning', 'communication', 'information technology (it)', 'management', 'ms office', 'leadership', 'sales', 'sales target']",On-site,Full Time,Manager,Confidential,14 days ago
Senior Cost Control Engineer - Civil,Confidential -,"New Cairo, Cairo, Egypt ","['cost control', 'project cost control', 'budgetting', 'forecasted cost', 'management', 'ms office', 'communication', 'computer science', 'cost management']",On-site,Full Time,Experienced,Confidential,14 days ago
Senior Backend Engineer,Sabika -,"Maadi, Cairo, Egypt ","['backend development', 'node.js', 'express.js', 'nestjs', 'typescript', 'javascript', 'rest api', 'api development']",Hybrid,Full Time,Experienced,Confidential,14 days ago
Quality Assurance and Quality Control Engineer,MENA For Contracting & Trading -,"North Coast, Alexandria, Egypt ","['engineering', 'quality assurance', 'quality control', 'architecture', 'civil engineering', 'iso 9001', 'management', 'qc']",On-site,Full Time,Experienced,Confidential,14 days ago
QA Senior Engineer,MCS Group -,"Nasr City, Cairo, Egypt ","['integrated management systems (ims)', 'imca, api', 'certified internal auditor', 'capa', '5-why', 'fishbone', 'fmea methodology', 'analysis', 'engineering']",On-site,Full Time,Experienced,Confidential,14 days ago
Internal Audit Manager,Confidential -,"Giza, Egypt ","['accounting', 'auditing', 'finance', 'financial analysis']",On-site,Full Time,Experienced,Confidential,14 days ago
Senior Hiring & Recruitment Specialist,Innovvette for Education -,"Maadi, Cairo, Egypt ","['hiring', 'recruitment', 'hr specialist', 'human resources (hr)', 'interviewing', 'recruitment strategy', 'communication', 'negotiation', 'talent acquisition']",On-site,Full Time,Experienced,Confidential,14 days ago
Maintenance Section Head,ElSaba Group Co. -,"Cairo, Egypt ","['engineering', 'maintenance', 'mechanical engineering', 'management']",On-site,Full Time,Experienced,Confidential,14 days ago
Sales Manager,Diamond Medical Services -,"Heliopolis, Cairo, Egypt ","['customer service', 'sales', 'sales target', 'business administration', 'business development', 'communication', 'management']",On-site,Full Time,Manager,Confidential,14 days ago
Purchasing Section Head,Confidential -,"Cairo, Egypt ","['purchasing', 'planning', 'purchasing management']",On-site,Full Time,Experienced,Confidential,14 days ago
Category Operations Manager,Arma-HSA -,"New Cairo, Cairo, Egypt ","['management', 'sales', 'administration', 'business administration', 'category management', 'forecasting', 'marketing', 'microsoft office']",On-site,Full Time,Manager,Confidential,14 days ago
Teacher,smart international school -,"Fayoum, Fayoum, Egypt ","['mathematics', 'english teaching', 'curriculum development', 'classroom management', 'differentiated instruction', 'lesson planning', 'student assessment', 'communication skills']",On-site,Full Time,Experienced,Confidential,14 days ago
Sales Representative Consultant,Dubai Developments -,"10th of Ramadan City, Sharqia, Egypt ","['sales', 'sales target', 'crm', 'business development', 'client relationship management', 'negotiation', 'communication', 'presentation skills']",On-site,Full Time,Entry Level,Confidential,14 days ago
Payroll Specialist,MCV - Obour -,"Obour City, Cairo, Egypt ","['payroll', 'human resources (hr)', 'compensation and benefits', 'personnel', 'ms office', 'hr']",On-site,Full Time,Experienced,Confidential,14 days ago
Senior HIS Back Office Support Engineer,Confidential -,"Heliopolis, Cairo, Egypt ","['information technology (it)', 'computer science', 'database sql server', 'erp applications', 'application support']",On-site,Full Time,Experienced,Confidential,14 days ago
Procurement & Cost Estimation Engineer.,Confidential -,"Mohandessin, Giza, Egypt ","['architecture', 'procurement', 'contract negotiation', 'vendor management', 'cost analysis', 'risk management', 'engineering drawings', 'construction materials knowledge']",On-site,Full Time,Experienced,Confidential,14 days ago
English Teacher,New Heliopolis Modern School    -,"Shorouk City, Cairo, Egypt ","['english teaching', 'teaching', 'curriculum development', 'lesson planning', 'classroom management', 'communication skills', 'interpersonal skills', 'assessment and evaluation']",On-site,Full Time,Experienced,Confidential,14 days ago
"Export Sales Executive, West & Central Africa",Decotam  -,"6th of October, Giza, Egypt ","['export sales', 'export development', 'sales', 'sales field', 'sales target', 'outdoor sales', 'indoor sales', 'sales plan']",On-site,Full Time,Experienced,Confidential,15 days ago
Marketing Specialist,Al Seif Group -,"Sidi Gaber, Alexandria, Egypt ","['marketing', 'social media management', 'e-marketing', 'content creation', 'digital advertising', 'campaign management', 'market research']",On-site,Full Time,Experienced,Confidential,15 days ago
Chief Marketing Officer,Al Seif Group -,"Sidi Gaber, Alexandria, Egypt ","['real estate marketing', 'web development for marketing', 'digital marketing strategy', 'brand management', 'market research', 'seo/sem', 'content marketing', 'social media marketing', 'data analytics']",On-site,Full Time,Experienced,Confidential,15 days ago
Internal Audit Section Head,Dakahlia Group -,"Nasr City, Cairo, Egypt ","['accounting', 'auditing', 'finance', 'management', 'cia', 'financial accounting', 'treasury accounting']",On-site,Full Time,Manager,Confidential,15 days ago
Treasury Section Head,Egypt Foods -,"Quweisna, Monufya, Egypt ","['treasury', 'microsoft office', 'management', 'mechanical engineering', 'sap', 'accounting', 'administration', 'business administration', 'engineering']",On-site,Full Time,Manager,Confidential,15 days ago
Electrical Section Head,El Mansour Development  -,"Mokattam, Cairo, Egypt ","['engineering', 'management', 'microsoft office', 'electrical engineering', 'mechanical engineering', 'construction', 'project management']",On-site,Full Time,Manager,Confidential,15 days ago
Group Internal Audit Manager,Reliance Egypt -,"Downtown, Cairo, Egypt ","['auditing', 'certified internal auditor (cia)', 'quality auditing', 'certified internal auditor']",On-site,Full Time,Manager,Confidential,15 days ago
CAD Designer,Doosan Enerbility co .LTD -,"Dabaa, Matruh, Egypt ","['design', 'interior design', 'autocad', 'sketchup', 'architectural design', 'construction documentation', 'material selection', 'construction']",On-site,Full Time,Experienced,Confidential,15 days ago
Credit Supervisor,AlNirvana Over the World -,"Nasr City, Cairo, Egypt ","['accounting', 'customer service', 'finance management', 'credit risk analysis', 'financial reporting', 'collection strategies', 'data analysis', 'negotiation', 'problem-solving']",On-site,Full Time,Experienced,Confidential,15 days ago
Electrical Site Engineer,Gila Electric -,"Downtown, Cairo, Egypt ","['electrical engineering', 'engineering']",On-site,Full Time,Experienced,Confidential,15 days ago
Performance Marketing & E-commerce Manager (International Markets),Carina Wear -,"New Cairo, Cairo, Egypt ","['e-marketing', 'social media', 'e-commerce', 'performance marketing']",On-site,Full Time,Manager,Confidential,15 days ago
Production Manager,Roasty -,"Qalyub, Qalubia, Egypt ","['engineering', 'management', 'manufacturing', 'production', 'problem solving', 'production scheduling']",On-site,Full Time,Manager,Confidential,15 days ago
Pre-School English Teacher,Leap Development Hub -,"New Cairo, Cairo, Egypt ","['education', 'teaching', 'nursery', 'english', 'nurseries', 'pre school', 'schools']",On-site,Full Time,Entry Level,Confidential,15 days ago
Junior electrical production engineer,Medineeds -,"Marg, Cairo, Egypt ","['electrical engineering', 'production', 'testing', 'troubleshooting', 'pcb']",On-site,Full Time,Entry Level,Confidential,15 days ago
Marketing Specialist,Skarpt Company     -,"Hadayek Alahram, Giza, Egypt ","['marketing', 'e-marketing', 'social media']",On-site,Full Time,Experienced,Confidential,15 days ago
Business Excellence Manager,Confidential -,"Downtown, Cairo, Egypt ","['hse', 'quality control', 'business administration', 'business development', 'construction', 'engineering', 'management']",On-site,Full Time,Manager,Confidential,15 days ago
Mechanical Design Engineer - R&D,Medineeds -,"Agouza, Giza, Egypt ","['design', 'r&d', 'engineering', 'mechanical design', 'mechanical engineering', 'mechanical', 'information technology (it)']",On-site,Full Time,Experienced,Confidential,15 days ago
Architecture Technical Office Engineer,Construction Management Systems -,"Cairo, Egypt ","['architecture', 'engineering', 'technical office', 'construction', 'site engineering']",On-site,Full Time,Experienced,Confidential,15 days ago
Head of Commercial,Confidential -,"New Cairo, Cairo, Egypt ","['sales', 'management']",On-site,Full Time,Manager,Confidential,15 days ago
Fleet Controller,Confidential -,"Cairo, Egypt ","['logistics', 'quality control', 'fleet management', 'operations management', 'supply chain', 'administration']",On-site,Full Time,Experienced,Confidential,15 days ago
Software Sales Executive,Confidential -,"Nasr City, Cairo, Egypt ","['sales', 'software sales', 'sales target', 'lead generation', 'erp software', 'odoo', 'saas']",Hybrid,Full Time,Entry Level,Confidential,15 days ago
Supply & Demand Planning Lead - Alexandria,Mobility Pro -,"Alexandria, Egypt ","['demand planning', 'planning', 'logistics', 'supply chain']",On-site,Full Time,Experienced,Confidential,15 days ago
Senior Technical Office Architect,ECONTECH FOR ENGINEERING & TRADING -,"Heliopolis, Cairo, Egypt ","['architecture', 'autocad', 'engineering', 'technical office', 'shop drawings', 'fit-out', 'adobe photoshop']",On-site,Full Time,Manager,Confidential,15 days ago
B2B Sales Manager,Corbit Company -,"Cairo, Egypt ","['b2b', 'b2b sales', 'sales', 'sales target']",On-site,Full Time,Manager,Confidential,15 days ago
HR Administrative Specialist,Mopars Garage -,"Giza, Egypt ","['administration', 'hr', 'microsoft office', 'office management', 'human resources (hr)', 'hr policies', 'hr admin', 'hr specialist']",On-site,Full Time,Experienced,Confidential,15 days ago
Architecture Engineer – Technical Office,Maramer Contracting Company -,"Cairo, Egypt ","['autocad', 'microsoft office', 'revit bim', 'sec/sbc', 'architectural engineering', 'bim', 'communication', 'architecture', 'engineering']",On-site,Full Time,Experienced,Confidential,15 days ago
Internship in Operations Team (English & Arabic) 2026,TA telecom -,"Maadi, Cairo, Egypt ","['customer service', 'english', 'marketing', 'operations', 'accounting', 'communication skills', 'management']",Hybrid,Internship,Entry Level,Confidential,15 days ago
Key Account Manager,Confidential -,"10th of Ramadan City, Sharqia, Egypt ","['sales skills', 'supply chain management', 'logistics optimization', 'customer service excellence', 'customer relationship management (crm)', 'customer support', 'business development']",On-site,Full Time,Experienced,Confidential,15 days ago
Electrical Maintenance Engineer,Confidential -,"6th of October, Giza, Egypt ","['communication', 'electrical engineer', 'manufacturing', 'electrical', 'mechanical engineering', 'manufacturing industry', 'maintenance engineering', 'maintenance']",On-site,Full Time,Entry Level,Confidential,15 days ago
Health And Safety Engineer,Gulsan Egypt Non-Woven Industries -,"6th of October, Giza, Egypt ","['communication', 'manufacturing', 'manufacturing industry', 'hse management', 'hse', 'health, safety and environment', 'fire fighting']",On-site,Full Time,Entry Level,Confidential,15 days ago
Warehouse Specialist (10th of Ramadan City),Midea Group -,"10th of Ramadan City, Sharqia, Egypt ","['inventory management', 'record keeping', 'stock control', 'warehouse operations', 'time management', 'communication', 'problem solving', 'microsoft excel', 'storekeeping']",On-site,Full Time,Experienced,Confidential,15 days ago
Team Leader MEP Site Engineer,ZAD MEP -,"Nasr City, Cairo, Egypt ","['engineering', 'mep', 'autocad', 'revit', 'mechanical engineering', 'electrical engineering', 'site supervision', 'project management', 'leadership']",On-site,Full Time,Experienced,Confidential,15 days ago
Senior MEP Mechanical Site Engineer,ZAD MEP -,"Cairo, Egypt ","['mechanical engineering', 'site management', 'mep systems', 'project coordination', 'problem solving', 'autocad/revit proficiency', 'mechanical', 'mep', 'plumbing']",On-site,Full Time,Experienced,Confidential,15 days ago
Quality Control Engineer,Trustcom -,"Cairo, Egypt ","['engineering', 'quality assurance', 'quality control']",On-site,Full Time,Experienced,Confidential,15 days ago
MIS Specialist..,Etisalat Egypt -,"Maadi, Cairo, Egypt ","['customer service', 'customer support', 'cx', 'leadership', 'inbound calls', 'crm system', 'freshdesk', 'zendesk', 'salesforce']",On-site,Full Time,Experienced,Confidential,15 days ago
Human Resources Generalist,Kanza Group -,"Mohandessin, Giza, Egypt ","['talent acquisition', 'personnel', 'microsoft office', 'communication', 'recruitment']",On-site,Full Time,Experienced,Confidential,15 days ago
Tax Accountant,ABCO Group  -,"Bourj Alarab, Alexandria, Egypt ","['accounting', 'finance', 'financial analysis', 'tax', 'tax compliance', 'financial reporting', 'auditing', 'microsoft excel']",On-site,Full Time,Experienced,Confidential,15 days ago
Warehouse Specialist - (Saadat),Midea Group -,"Alsadat City, Monufya, Egypt ","['inventory management', 'record keeping', 'stock control', 'warehouse operations', 'time management', 'communication', 'problem solving', 'microsoft excel', 'storekeeping']",On-site,Full Time,Experienced,Confidential,15 days ago
Real Estate Acquisition Supervisor,Petromin  -,"Maadi, Cairo, Egypt ","['network planning', 'site selection', 'feasibility studies', 'market analysis', 'negotiation', 'investment analysis', 'microsoft office']",On-site,Full Time,Experienced,Confidential,15 days ago
Personnel Specialist,Professional Service - Proserv -,"Maadi, Cairo, Egypt ","['human resources (hr)', 'personnel', 'recruitment', 'microsoft office', 'hr', 'hr systems', 'hr policies', 'compliance']",On-site,Full Time,Entry Level,Confidential,15 days ago
Junior Accountant,Confidential -,"Cairo, Egypt ","['accounting', 'finance', 'bookkeeping', 'financial reporting', 'microsoft excel', 'data entry', 'general ledger', 'accounts payable', 'accounts receivable']",On-site,Full Time,Entry Level,Confidential,15 days ago
Call Center Agent (English B2),Etisalat Egypt -,"Maadi, Cairo, Egypt ","['call center', 'customer care', 'customer service', 'customer support', 'english teaching', 'english', 'insurance', 'promoting', 'training']",On-site,Full Time,Entry Level,Confidential,15 days ago
Secretary,Beverlyhills -,"Shorouk City, Cairo, Egypt ","['administration', 'microsoft office suite', 'organizational skills', 'communication skills', 'time management', 'record keeping', 'data entry', 'scheduling', 'professionalism']",On-site,Full Time,Experienced,Confidential,15 days ago
Marketing Manager,Your Parts -,"Maadi, Cairo, Egypt ","['market research', 'marketing', 'social media']",On-site,Full Time,Manager,Confidential,15 days ago
Business Development Executive,unique saray development -,"Cairo, Egypt ","['business development', 'real estate', 'development', 'communication', 'negotiation', 'sales', 'sales target']",Remote,Full Time,Experienced,Confidential,15 days ago
Administration Manager,Your Parts -,"Maadi, Cairo, Egypt ","['administration', 'management', 'business administration', 'microsoft office', 'ms office', 'office management']",On-site,Full Time,Manager,Confidential,15 days ago
Customer Service /Tele Sales (Turkish OR Urdu),QMove -,"Nasr City, Cairo, Egypt ","['customer service', 'customer support', 'sales', 'business development', 'communication', 'crm', 'call center', 'negotiation']",On-site,Full Time,Entry Level,Confidential,15 days ago
English Teacher - Alexandria,Egyptian English Language schools -,"Mandara, Alexandria, Egypt ","['arts', 'education', 'english teaching', 'english', 'literature', 'teaching', 'language', 'schools']",On-site,Full Time,Entry Level,Confidential,15 days ago
Lead Geotechnical Design Engineer,EGEC -,"Giza, Egypt ","['geotechnical', 'design', 'civil engineering', 'computer science', 'geotechnical engineering', 'information technology (it)', 'engineering', 'software development']",On-site,Full Time,Experienced,Confidential,15 days ago
Senior Electromechanical Engineer,Middle East Glass -,"Cairo, Egypt ","['senior electromechanical engineer mep engineer mechanical project engineer electrical project engineer maintenance engineer utilities engineer plant engineer project engineer', 'project engineering', 'electrical engineering', 'computer science', 'engineering', 'electromechanical', 'information technology (it)', 'mechanical', 'project']",On-site,Full Time,Senior Management,Confidential,15 days ago
