title,company,location,skills,Type,Duration,experience_level,salary,date_posted
Logistic Specialist,ATR Trading -,"New Cairo, Cairo, Egypt ","['logistics', 'supply chain management', 'export procedures', 'documentation', 'shipping line coordination', 'inventory management', 'customs regulations', 'problem solving']",On-site,Full Time,Entry Level,Confidential,55 minutes ago
Accountant Specialist - Collection,OTIC -,"Cairo, Egypt ","['collection', 'accounting', 'finance', 'commerce', 'erp', 'ms office', 'sap']",On-site,Full Time,Entry Level,Confidential,60 minutes ago
Sales Representative,Confidential -,"Dahab, South Sinai, Egypt ","['web application', 'sales', 'diving']",Remote,Freelance / Project,Experienced,Confidential,1 hour ago
Video Editor,Parkville Pharmaceuticals -,"Mohandessin, Giza, Egypt ","['video editing', 'advertising', 'ai']",On-site,Full Time,Entry Level,Confidential,1 hour ago
Call Center Agent (Fluent English),Etisalat Egypt -,"Maadi, Cairo, Egypt ","['call center', 'customer care', 'customer service', 'customer support', 'english teaching', 'english', 'insurance', 'promoting', 'training']",On-site,Full Time,Entry Level,Confidential,1 hour ago
Lead Qualification & Marketing Coordinator,Specialized Seamless Services  -,"Heliopolis, Cairo, Egypt ","['lead generation', 'business development', 'administration', 'marketing']",On-site,Full Time,Entry Level,Confidential,1 hour ago
senior export sales,ATR Trading -,"New Cairo, Cairo, Egypt ","['negotiation', 'export', 'export sales', 'sales target', 'frozen fruit', 'frozen vegetables', 'iqf', 'market research']",On-site,Full Time,Experienced,Confidential,2 hours ago
Music Teacher for Elementary,Canadian International School -,"New Cairo, Cairo, Egypt ","['drama', 'music editing', 'theater', 'english teaching', 'english training', 'english education', 'class management', 'teaching']",On-site,Full Time,Experienced,Confidential,2 hours ago
Marketing Specialist,NoorNation -,"Giza, Egypt ","['e-marketing', 'marketing', 'brand strategy', 'content creation', 'digital marketing', 'lead generation', 'offline marketing']",On-site,Full Time,Entry Level,Confidential,2 hours ago
Heavy Equipment Maintenance Engineer,Ship & C.R.E.W  -,"Gomrok, Alexandria, Egypt ","['engineering', 'equipment maintenance', 'heavy equipment', 'maintenance', 'mechanical engineering', 'hydraulic', 'erp', 'microsoft office']",On-site,Full Time,Experienced,Confidential,2 hours ago
Compliance - Assistant Manager,OTIC -,"Cairo, Egypt ","['corporate governance', 'regulatory compliance', 'compliance monitoring', 'compliance risk assessment', 'internal controls', 'policy & sop development', 'regulatory reporting', 'root cause analysis']",On-site,Full Time,Experienced,Confidential,2 hours ago
